sample_role,parent_asin,proposed_device_type,source_domains,main_category,title,categories_evidence,limited_metadata_evidence,original_exclusion_reason,exclusion_gate_categories,supporting_metadata_fields,matched_device_terms,matched_smart_terms,proposed_decision,confidence,audit_label,audit_notes,draft_version,sampling_rank
recovery_candidate,B07Z4G87VN,smart_bulb,Electronics,Amazon Devices,Echo (3rd Gen) Heather Gray Bundle with Lifx wi-fi smart bulb,,"features: … Personalize your listening experience by adjusting the equalizer settings. Or pair with a second Echo (3rd Gen) or Echo Plus (2nd Gen) for stereo sound. Voice control your music - Ask Alexa for a song, artist, or genre from Amazon Music, Apple Music, Spotify, Pandora, SiriusXM, and more. With multi-room music, play music on compatible Echo devices in different rooms. Voice control your smart home - Turn on lights, a…",smart_bulb:wrong_product:bundle with|smart_bulb:wrong_product:echo,wrong_product,title|features,bulb,alexa|lifx|smart_near_bulb|voice control|wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,07a176464c4af2bcb77d2db80a2566b0cce0fe98c1b9b0757786da091a5f8819
recovery_candidate,B00004Z5X7,smart_bulb,Electronics,All Electronics,Pacoso 2018 Newest Version Digital - Amplified HD TV Antenna 75 Miles Range with Detachable Amplifier Signal Booster,Electronics Television & Video Accessories Projector Accessories Bulbs,"categories: Electronics Television & Video Accessories Projector Accessories Bulbs | features: 【Full free HD channels】 Paces TV antenna lets you enjoy over-the-air networks in your area without paying a monthly fee. Cut monthly cable and get access to local new, weather, sitcoms, kids and sports, educational programs etc. 【6580 miles range & 13. 5ft long coax cable】 with detachable amplifier signal booster, the digital TV antenna can reach up to max 80 miles range, with extra long 13. 5ft coaxial cable, you c… | description: …, etc., . Will reduce effective range. Always Re-Scan channels after moving the indoor antenna, The result may be better. 4. Stickers 5. Instruction manual. Amazon.com ",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:projector,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,categories|description,bulb|bulbs,,exclude,medium,non_smart,Bulb identity is present but connected-control evidence is absent.,w3-v1.4.0-draft,07b455e6fdc1b78523d042238076d1e21b795109f5884a2baaecc15c752d66a0
recovery_candidate,B08F911FQP,smart_bulb,Electronics,Amazon Devices,Echo Dot (3rd Gen) - Smart speaker with Alexa - Sandstone Sengled Bluetooth bulb,,"features: This bundle contains Echo Dot (3rd gen) and Sengled Smart Bulb – everything you need to start your smart home. Echo Dot is our most popular voice-controlled speaker, now with improved sound and a new design. Simple to set up and use - To set up your free bulb, plug in and set up your Echo device, plug in your bulb, and ask, “Alexa, discover my devices."" Use your voice to name your bulb and begin using immediately No …",smart_bulb:approved_identity_phrase_absent|smart_bulb:wrong_product:echo|smart_bulb:wrong_product:echo dot|smart_bulb:wrong_product:smart speaker|smart_plug:approved_identity_phrase_absent|smart_plug:identity_not_in_title_or_categories|smart_plug:wrong_product:echo|smart_plug:wrong_product:echo dot|smart_plug:wrong_product:smart speaker,approved_identity_phrase_absent|multi-type conflict|wrong_product,title|features,bulb,alexa|bluetooth|sengled|voice controlled,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,07b8f8fe8dfe62ce6734c2758ac5b41fccefcc748b27d3e37d7de4f9a35aeaf9
recovery_candidate,B09JFPY6MY,smart_bulb,Electronics,All Electronics,"Pixthink Mini Projector with WiFi, Home Movie Projector Support 4K, Portable Outdoor Projector with Carrying Case and Projector Screen, Native 1080P Home Movie Projector for Android/iPhone",Electronics Video Projectors,"categories: Electronics Video Projectors | features: …ogy. The projector has lower noise compare to most projectors in the market. Besides, the powerful cooling system disperse the heat of the lamp efficiently, extending the bulb life to 30,000 hours. 💥Screen Mirroring Support & Easy Setup: Fast-speed wireless connection. No need to buy extra adapters to connect IOS and Android phones to projector, pixthink M1 wireless WiFi projector can also be wired through the origin… | details: … x 1080 Item Weight 3.17 pounds Item model number M1 Product Dimensions 7.87 x 5.51 x 5.51 inches Special Feature Wireless, Portable, Built In Wi Fi Special Features Wireless, Portable, Built In Wi Fi Specificati",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:projector,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,title|features|details,bulb,wi fi|wifi,exclude,high,accessory,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,0810b05ddb0350b48bd8084f027d95adde3f418106c9024fa6ec3c0adc3e6164
recovery_candidate,B01IQH1DFY,smart_bulb,Electronics,Tools & Home Improvement,Replacement Lamp Assembly with Genuine Original OEM Bulb Inside for Smart Board 1018580 Projector (Power by Osram),Electronics Television & Video Accessories Projector Accessories Lamps,"categories: Electronics Television & Video Accessories Projector Accessories Lamps | features: IET Lamps only use original manufacturer OEM bulbs inside. IET Lamps housing units are made from durable and high quality materials and are guaranteed to fit properly. This lamp will meet the original manufacturer quality and performance standards. Last 3x longer then Generic lamps! Better Reliability, Brighter Picture, Longer Lasting. Lamp Part Number: 1018580 180 Days Warranty. 30 Days Money Back Guarantee. | description: IET Lamps only use original manufacturer OEM bulbs inside. Our housing units are made from durable and high quality materials and are guaranteed to fit properly. This lamp with ",smart_bulb:approved_identity_phrase_absent|smart_bulb:wrong_product:projector|smart_bulb:wrong_product:replacement lamp|smart_bulb:wrong_product:smart board,approved_identity_phrase_absent|wrong_product,title|features|description,bulb|bulbs,smart_near_bulb,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,081eaeaeae4f58f7b393226bc4eb6be0932da69cc2406f207f101e9cd51d0234
recovery_candidate,B0C7CCT8NW,smart_bulb,Electronics,All Electronics,"TOPTRO X5 5G WiFi Bluetooth Projector, 460 ANSI Lumen Full HD Native 1080P Projector, Outdoor Projector 4K Support 4P/4D Keystone, Zoom, 300"" Display, PPT, for Home Theater and Small Office Use",Electronics Video Projectors,"categories: Electronics Video Projectors | features: 💖【Imported Light Source and Long-lasting Reliability】The brightness and image quality of ordinary projector bulbs will decrease after long-term use. The X5 projector uses a light source imported from Germany, with the original image optimization function, the image can be automatically adjusted according to the attenuation of the bulb to keep the image clear always. The maintenance and after-sales cost of the project… | description: TR81 | details: Best Sellers Rank Video Projectors 1240 Brand TOPTRO Brand Name TOPTRO Color Name White Connectivity Technology Bluetooth Date First Available May 20, 2020 Display resolution 1920 x 1080 Item We",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:projector,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,title|features,bulb|bulbs,bluetooth|wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,0824b92b85c64f2cdfb9ebae78049a01ca79dd911247fe7ced4e89bb70a5786d
recovery_candidate,B07Z4GBF47,smart_bulb,Electronics,Amazon Devices,Echo Show 8 (Sandstone) Bundle with Senged 2-pack smart bulb starter kit,,"features: Alexa can show you more - With an 8"" HD screen and stereo sound, Alexa can help manage your day at a glance. Be entertained - Ask Alexa to show you movie trailers, TV shows, movies, or the news. Or listen to radio stations, podcasts, and audiobooks. Connect with video calling and messaging - Call friends and family who have the Alexa app or an Echo device with a screen. Make announcements to other devices in your hom…",smart_bulb:wrong_product:bundle with|smart_bulb:wrong_product:echo|smart_bulb:wrong_product:echo show,wrong_product,title|features,bulb|bulbs,alexa|google assistant|sengled|smart_near_bulb|voice control|wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,082a3b60a14e6621f6985f218e679e0596798265ab2277e2660889b91564b2e3
recovery_candidate,B09DYP29RS,smart_bulb,Home_and_Kitchen,Amazon Home,36 Pieces Christmas Reflective Car Magnets Reflective Bulb Light Christmas Gnome Magnets Decor for Christmas Car Refrigerator Decoration,Home & Kitchen Kitchen & Dining Kitchen Utensils & Gadgets Kitchen Accessories Refrigerator Magnets,"categories: Home & Kitchen Kitchen & Dining Kitchen Utensils & Gadgets Kitchen Accessories Refrigerator Magnets | features: Package contents: you will receive 4 pieces Xmas gnome decorations, 16 pieces decorative bulbs and 16 pieces light strings, complete accessories set are enough to satisfy your decoration and replacement needs Long time service: the light bulb magnets set is made of quality and anti-slip magnet, easy to stick to your car, fridge, metal door, cabinets, garage door, not easy to fall, serviceable and reusable for a long … | description: Features:Reliable quality:The Xmas light bulb magnets sticker is made of reliable magnet material, lightweight and odorless, reliable and s",smart_bulb:approved_identity_phrase_absent|smart_bulb:smart_evidence_not_in_title_or_categories,approved_identity_phrase_absent|smart_evidence_not_in_title_or_categories,title|features|description,bulb|bulbs|light bulb,,exclude,medium,non_smart,Bulb identity is present but connected-control evidence is absent.,w3-v1.4.0-draft,086e335f5d3cf482c7c0778a4245122eed5254c3c9ab54ba4e536221bd1c82b4
recovery_candidate,B008MZNS2C,smart_bulb,Electronics,,"20-01032-20 Projector Replacement Lamp for Smart UF55, UF55w, Unifi 55, Smart Board 600i3, SB660, SBD660, SB680, SBD680, SB685, SBD685",Electronics Television & Video Accessories Projector Accessories Bulbs,"categories: Electronics Television & Video Accessories Projector Accessories Bulbs | features: …70 tlp-671 tlp-671e This product has been tested and validated for your smartboard 20-01032-20 projector 120-Day warranty when purchased from Bulb America High quality at an affordable price Replacement Lamp | description: CTLAMP TLPL6 Replacement Lamp with housing for Toshiba tlp-450 tlp-451 tlp-650tlp-651 tlp-670 tlp-671 tlp-671e with great brightness and long life | details: Best Sellers Rank Projector Bulbs 4449 Brand FI Lamps Control Method App Date First Available July 19, 2012 Finish Type Projector Is Discontinued By Manufacturer No Item Dimensions LxWxH 7.28 x 6.1 x 5.71 inches Item Packag",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:projector|smart_bulb:wrong_product:replacement lamp|smart_bulb:wrong_product:smart board,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,categories|features|details,bulb|bulbs,,exclude,high,accessory,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,089e07b0f81ff1f972f1321d574c7fdacdc1ae8835f9f5e409642964ebe8d743
recovery_candidate,B00BT5JR0Y,smart_bulb,Electronics,Camera & Photo,PRO 16CH H.264 1 TB Smart Security DVR with 8 Ultra Hi-res Outdoor Surveillance Cameras and Smart Phone Compatibility,Electronics Security & Surveillance Surveillance Video Equipment Surveillance DVR Kits,"categories: Electronics Security & Surveillance Surveillance Video Equipment Surveillance DVR Kits | description: 11114 Features: -Number of light: 38. -Bulb type: IR LED. -1TB HDD Delivers 4 years of memory. -Adjustable anti-vandal mount for ease of installation. Product Type: -Surveillance system. Color: -Silver. Number of Channels: -16. Camera Type: -Bullet. Outdoor Use: -Yes. Motion Sensor: -Yes. Network Capable: -Yes. Night Vision: -Yes. Display Type: -Smartphone compatible. Recording Capacity in GB: -1024. Connection Type:… | details: Brand SVAT Electronics Color Silver Compatible Devices Smartphones, Cameras Connectivity Technology Wired Date First Available March 13, 2013 Item Dimens",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:cameras,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,description,bulb,,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,08d279c8ca1f48eeb7c1ca76064db534d83eae67f324b1affee89dc4efd242da
recovery_candidate,B0BSFQGK7N,smart_bulb,Electronics,Camera & Photo,"NEEWER CL124 RGB Handheld LED Light Stick Light Wand with APP Control & Metal Barndoor, 360°Full Color 16W 2500K-10000K CRI97+ Photography Tube Light with 17 Preset Scenes LCD Display 2600mAh Battery",Electronics Camera & Photo Lighting & Studio Lighting Continuous Output Lighting,"categories: Electronics Camera & Photo Lighting & Studio Lighting Continuous Output Lighting | features: …nd color neutral illumination. CCT/HSI/FX modes, 2500K-10000K adjustable color temperature, and 0-100% dimming for easy lighting customization 【Intelligent App Control】 Download the ""NEEWER"" app on your iOS or Android mobile device, then use it to wirelessly control the CL124 RGB and save lighting presets for future use. It’s a time saving and efficient way for portrait photography, film production, product photograp… | details: Battery Life 1 Hours Best Sellers Rank Continuous Output Lighting 193 Brand Neewer Connectivity Technology USB Date First Available January 16, 2023 Hardware Int",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:camera,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,title|features,bulb,app control,exclude,low,insufficient_evidence,Bulb identity is not explicit in title/categories.,w3-v1.4.0-draft,091c552eb9cf6e7e9e30d110abee61d8778cf60d6504a980e8609ebafdfaf4a2
recovery_candidate,B00JST4RP8,smart_bulb,Electronics,All Electronics,LG Electronics PF85U Full HD LED Projector with Smart TV and Built-In Digital TV Tuner (2014 Model),Electronics Video Projectors,"categories: Electronics Video Projectors | features: … well as at home providing a highly detailed image for your favorite content The PF85U makes use of LG's Smart TV by utilizing the integrated Wi-Fi to stream content from your favorite on-line service providers (Amazon Instant Video, Netflix, Vudu and more) as well as providing WiDi and Mira cast capabilities The integrated digital TV tuner allows you to access over the air High Definition broadcasts | description: …ital based light source shows picture in stunning color and clarity and because the light pulses, the LED light virtually eliminates motion blur. LONG LASTING LED If you're concerned with bulb-life, don't be. Unlike convention",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:projector,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,features|description,bulb,wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,092a577fe14bf317877df3ce439f13988fa0be45078cad236b66322b1be76e3c
recovery_candidate,B0875TWRZY,smart_bulb,Electronics,Camera & Photo,GVM RGB Video Lighting Panel - Studio Light Panel 8 Modes Lighting Scenes Fill Light Panel 3200K~5600K CCT Video Lighting Panel with APP Control Photography Lighting Kit for YouTube/Vlog/Makeup/Studio,Electronics Camera & Photo Lighting & Studio Lighting Continuous Output Lighting,"categories: Electronics Camera & Photo Lighting & Studio Lighting Continuous Output Lighting | features: 【Upgraded 8 Modes of Lighting Scenes】Upgraded RGB Video Light Panel supports including TV, Candle, Cop Car, Lightning, Paparazzi, Disco, Party, Bad bulb 8 kinds of special lighting scenes to enrich your shooting environment. AC adapter and battery (which is purchased separately) two charge methods for power supply, no matter indoor studio, outdoor video photography or camera lighting, more convenient to use 【RGB/Bi-C… | details: Best Sellers Rank Continuous Output Lighting 1681 Brand GVM Great Video Maker Date First Available April 16, 2020 Hardware Interface Lightning Has Self-Timer No I",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:camera,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,title|features,bulb,app control,exclude,low,insufficient_evidence,Bulb identity is not explicit in title/categories.,w3-v1.4.0-draft,093eff2a74eaa86923dd734dc41690720823ba326720c8c79e97c3ffe06ee2d5
recovery_candidate,B005T567CG,smart_bulb,Electronics,All Electronics,"AAXA P2 Jr Pico Projector with 90 Minute Battery Life, Pocket Size, 15,000 Hour LED Life, Mini-HDMI, Mini-VGA, Media Player, DLP Projector",Electronics Video Projectors,"categories: Electronics Video Projectors | features: Ultra Bright 55 Lumens, Supports 1080p/1080i/720p Resolutions, 1000:1 Contrast, Vibrant Color Technology with 15,000 hour LED s Ultra Portable 0.3 lbs. Weight, Pico Projector fits nicely in your pocket, Lamp Life 15,000 Hours. Built-in Speakers, 16:9 compatible. Mini-HDMI, mini-VGA, Composite A/V connections along with USB readers For Personal Media Sharing with friends and family, USB Plug 'n Play instant set up; A… | description: …ywhere. The powerful ARM-based processor allows the AAXA P2 Jr. Pico to natively play 720p videos, pictures, and even text and music directly from a USB or microSD card (up to 16GB). An entire media library can",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:projector|smart_plug:approved_identity_phrase_absent|smart_plug:identity_not_in_title_or_categories,approved_identity_phrase_absent|identity_not_in_title_or_categories|multi-type conflict|wrong_product,description,bulb|bulbs,,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,0944d523359a0dc698cc2a4b7e649b5c1b45d1b282c2f37013bf9cf2fa6525b3
recovery_candidate,B0B5R839HM,smart_bulb,Electronics,Camera & Photo,"XVIM 3MP Wireless Bulb Camera, 2.4GHZ WiFi Camera, Home Light Bulb Security Camera, Motion Detection & Alarm, Night Vision",Electronics Camera & Photo Video Surveillance Surveillance Cameras Bullet Cameras,"categories: Electronics Camera & Photo Video Surveillance Surveillance Cameras Bullet Cameras | features: 【2.4Ghz WiFi & Easy Installation】- XVIM light bulb security camera supports 2.4Ghz WiFi (5Ghz WiFi is not supported). Bulb cameras can be mounted on the E26 bulb base(100V~240V), no extra installation steps are required. Also, equipped with an adapter, XVIM light bulb security camera can be easily used by being screwed into the adapter and plugged into the power supply. You can easily use the bulb camera even if ther… | details: …veillance Cameras 687 Brand XVIM Connectivity Technology Wireless Date First Available July 4, 2022 Item Weight 9.1 ounces Item model number Bulb Camera Manufac",smart_bulb:approved_identity_phrase_absent|smart_bulb:wrong_product:bulb camera|smart_bulb:wrong_product:camera|smart_bulb:wrong_product:cameras|smart_bulb:wrong_product:security camera|smart_plug:approved_identity_phrase_absent|smart_plug:identity_not_in_title_or_categories|smart_plug:wrong_product:camera|smart_plug:wrong_product:cameras|smart_plug:wrong_product:security camera,approved_identity_phrase_absent|multi-type conflict|wrong_product,title|features|details,bulb|e26|light bulb,wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,095fc3ef169211fb1c840ad028de7b93d14212072f54cfb4aecb4552ff96b23b
recovery_candidate,B0BNNN7SCY,smart_bulb,Electronics,All Electronics,"Projector, Portable Projector 1080P Supported,200"" HD Mini Projector, 8000 Lux LED Movie Outdoor Projector for Phone Compatible with HDMI/PC/Smartphone/TV Stick/PS4/USB-White",Electronics Video Projectors,"categories: Electronics Video Projectors | features: Portable Home WiFi Projector with Screen: The projector has a high brightness of 8000L, and the LED light source, makes the light softer and brings you a comfortable visual experience. 9000:1 high contrast ratio and ultra-wide color gamut provide ultra-detailed and vivid images. Lenses with optical coating technology, provide excellent light transmission and bring lasting clarity to the image. The ultra-fast WiFi tra… | details: Best Sellers Rank Video Projectors 3090 Brand Tytye Brand Name Tytye Connectivity Technology Wi-Fi, USB, HDMI Date First Available November 30, 2022 Display resolution 1920 x 1080 Form Factor Portable Item Weight 4",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:projector,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,features|details,bulb,wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,0965a676b787110cf5813d588edb2ae1c1a4b86430dd6a64d8dd9f640e5bee31
recovery_candidate,B0BRNFCRLV,smart_bulb,Electronics,Camera & Photo,"Hoibampu Wireless Light Bulb Security Camera for Home Motion Tracking Alarm, 1080P Socket Cameras Night Vision Two-Way Talk Compatible with Alexa blue",Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras,"categories: Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras | features: …he Action In Your Indoor/Outdoor In 360° field of view Built-In Motion Detection and Microphone Take action before it's too late with our security light bulb camera's motion tracking feature. The camera automatically pans, tilts, zooms, and rotates 360 degrees, following the motion until it goes out of sight. When enabled, the app sends notification alerts to your phone upon detection. Plus, a built-in mic captures t… | description: Wireless Light Bulb Security Camera Light Bulb Camera for Home Security Motion Tracking Alarm, 1080P Light Socket Cameras Night Vision Two-Way Talk Compatible",smart_bulb:approved_identity_phrase_absent|smart_bulb:wrong_product:camera|smart_bulb:wrong_product:cameras|smart_bulb:wrong_product:security camera|smart_plug:approved_identity_phrase_absent|smart_plug:wrong_product:camera|smart_plug:wrong_product:cameras|smart_plug:wrong_product:security camera,approved_identity_phrase_absent|multi-type conflict|wrong_product,title|features|description,bulb|light bulb,alexa|google assistant|wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,0979a3f10de4f805919a342ee6ac10fbb22f9e31cb12fbf6e1be1a50b6185d73
recovery_candidate,B00C197G0A,smart_bulb,Electronics,All Electronics,LG Electronics PG65U Ultra Portable LED Projector with WXGA Resolution WiDi ATSC Tuner and Integrated Battery (2014 Model),Electronics Video Projectors,"categories: Electronics Video Projectors | features: Getting your LG TV connected to the Internet and online content is easy when you have Wi-Fi built in. Disclaimer: *Internet connection required and sold separately. Integrated battery lets you be free from the power outlet availability to view your movies or files without the need to plug in. Play your movies and photos in HD from a USB. Easily view office and PDF files by connecting a thumb drive to the projector. N… | description: … color and clarity and because the light pulses, the LED light virtually eliminates motion blur. SUPER LONG-LASTING LED LAMP If you're concerned with bulb-life, don't be. The Super Long-Lasting LED Lamp will l",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:projector|smart_plug:approved_identity_phrase_absent|smart_plug:identity_not_in_title_or_categories,approved_identity_phrase_absent|identity_not_in_title_or_categories|multi-type conflict|wrong_product,features|description,bulb,wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,0985c0de33c6fb53f6c0c91eb89576485f02b09d5fbad08cb7b20c2172db7447
recovery_candidate,B09Q5ZM92R,smart_bulb,Electronics,Camera & Photo,"WOSECU Light Bulb Security Camera, 2.4GHz Wireless WiFi 1080P Smart Home Surveillance Cam, 360 Degree Pan Tilt Indoor Camera with Night Vision, Remote Viewing, Two Way Talk,Motion Detection Alarm",Electronics Security & Surveillance Home Security Systems,"categories: Electronics Security & Surveillance Home Security Systems | features: 【Full HD 1080P and Night Vision】: This wireless WiFi camera with 360 Degrees panoramic view angle, 1920×1080 image resolution. you can access the live stream through your iPhone/Android phone/Ipad.It can provide you with a clear vision at all times, no matter day or night 【Wireless Connection and Easy Setup】:This PTZ dome surveillance camera only supports 2.4G Wi-Fi (doesn’t support 5G Wi-Fi), It can be installed usi… | description: light bulb camera | details: Best Sellers Rank Home Security Systems 6994 Brand WOSECU Connectivity Technology Wireless Date First Available January 11, 2022 Indoor/Outdoor Usage In",smart_bulb:approved_identity_phrase_absent|smart_bulb:wrong_product:camera|smart_bulb:wrong_product:security camera,approved_identity_phrase_absent|wrong_product,title|features|description,bulb|e27|light bulb,smart home|wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,09951a86ce8dca6cced372584c9bf592ec6554c08fc35ae062044cbebc757c73
recovery_candidate,B0B9WJW1FN,smart_bulb,Electronics,Camera & Photo,"5GHz/2.4GHz Home Light Bulb Security Camera, Wireless WiFi 360 Degree PTZ Lightbulb Surveillance Camera with Motion Detection Two-Way Talk Color Night Vision E27 Lamp Cam White",Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras,"categories: Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras | details: Best Sellers Rank Dome Surveillance Cameras 4350 Date First Available August 17, 2022 Item Weight 9.6 ounces Manufacturer PRUBOVI Package Dimensions 7.4 x 3.94 x 3.15 inches",smart_bulb:approved_identity_phrase_absent|smart_bulb:wrong_product:camera|smart_bulb:wrong_product:cameras|smart_bulb:wrong_product:security camera,approved_identity_phrase_absent|wrong_product,title,bulb|e27|light bulb,wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,099f830f44bcf54d63aa1c79b1f4434381554c040141a0388874d0708ee35f8c
recovery_candidate,B0B33L7MK8,smart_bulb,Electronics,Camera & Photo,"US Stock Aputure Amaran T2c RGB Full-Color LED Tube Light,2500K~7500K Adjustable RGB Video Light Wand Stick,CRI 95+ TLCI 98+,15 Light Effects APP Control",Electronics Camera & Photo Lighting & Studio Lighting Continuous Output Lighting,"categories: Electronics Camera & Photo Lighting & Studio Lighting Continuous Output Lighting | features: …trol (DMX adapter required separately), On-Board 15 Built-in Lighting FX: Club lights, Paparazzi, Lightning, TV, Candle, Fire, Strobe, Explosion, Faulty Bulb, Pulsing, Welding, Cop Car, Color chase, Party Lights, Fireworks Super Accurate Color Rendition, CRI: ≥95, TLCI: ≥98, | details: Best Sellers Rank Continuous Output Lighting 795 Brand UKHP Connectivity Technology USB Country of Origin China Date First Available June 2, 2022 Hardware Interface USB Type C Has Self-Timer No Item Weight 5.35 pounds Manufacturer Aputure . Package Dimensions 26.22 x 4.69 x 4.13 inches",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:camera,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,title|features,bulb,app control,exclude,low,insufficient_evidence,Bulb identity is not explicit in title/categories.,w3-v1.4.0-draft,09a8a9f5e5fa6eeaa50cbece16d057ff1af47eae25d77936d240a4627f0876e0
recovery_candidate,B07F1K6V9S,smart_bulb,Home_and_Kitchen,Amazon Home,LSE Lighting UV Bulb for Smart High Output Emperor Aquatics 20080 80W,,details: Is Discontinued By Manufacturer No Item Weight 7.2 ounces Package Dimensions 38 x 2 x 2 inches,smart_bulb:approved_identity_phrase_absent,approved_identity_phrase_absent,title,bulb,smart_near_bulb,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,09cfdbf50ebae961f4574d8ab2d1b25e2a6da41a1a4eb409ce7c81a796a89002
recovery_candidate,B0B52KQ34K,smart_bulb,Electronics,Amazon Devices,Echo Show 5 (2nd Gen) | Charcoal with 2-Pack GE CYNC Smart LED Color Bulb,,"features: Smart bulbs that work with Alexa: Directly connect these smart LED light bulbs to your Google Assistant or Amazon Alexa for voice control. With Google Assistant or Alexa, light bulbs with voice control will help create your smart LED smart bulbs: These smart lights fit medium base sockets for 60W incandescent A19 bulbs, helping make your house a smart home. These smart LED light bulbs use 84% less energy and last 15 …",smart_bulb:approved_identity_phrase_absent|smart_bulb:wrong_product:echo|smart_bulb:wrong_product:echo show,approved_identity_phrase_absent|wrong_product,title|features,a19|bulb|bulbs,alexa|google assistant|smart_near_bulb|voice control|wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,09d24357eaebd52d2d2307c561d5ee3491da7e23618005fd44ea6e61554abf8a
recovery_candidate,B08K4G1N5K,smart_bulb,Electronics,Amazon Devices,Echo (4th Gen) | Glacier White with Sengled Bluetooth bulb | Alexa smart home starter kit,,"features: This bundle contains Echo (4th Gen) Glacier White and Sengled Bluetooth bulb. Control your lights without getting up - Use your voice to control your smart light bulb by saying, ""Alexa, turn on the lights"" for a hands free experience. Simple to set up and use - To set up your bulb, plug in and set up your Echo device, plug in your bulb, and ask, “Alexa, discover my devices."" Use your voice to name your bulb and begin…",smart_bulb:approved_identity_phrase_absent|smart_bulb:wrong_product:echo|smart_plug:approved_identity_phrase_absent|smart_plug:identity_not_in_title_or_categories|smart_plug:wrong_product:echo|smart_plug:wrong_product:starter kit,approved_identity_phrase_absent|multi-type conflict|wrong_product,title|features,bulb|light bulb,alexa|bluetooth|sengled|smart home|smart_near_bulb,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,09ea2179ab088fcac6328f32567e6036947e0a65186470f75bd9100c9f3766f2
